School_District_Name,year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Los Angeles USD,2010,2356,Advanced dance study (independent or studio),1,510,18,17.2,23.4,28.3,Dance
Santa Monica-Malibu USD,2010,2356,Advanced dance study (independent or studio),1,38,4,0.56,9.5,9.5,Dance
Beverly Hills USD,1997,2870,Advanced placement History of art,1,17,1,0.2,17,17,Art AP
Beverly Hills USD,1998,2870,Advanced placement History of art,1,18,1,0.2,18,18,Art AP
Beverly Hills USD,1999,2870,Advanced placement History of art,1,19,1,0.2,19,19,Art AP
Beverly Hills USD,2000,2870,Advanced placement History of art,1,14,1,0.2,14,14,Art AP
Beverly Hills USD,2002,2870,Advanced placement History of art,1,27,1,0.2,27,27,Art AP
Beverly Hills USD,2003,2870,Advanced placement History of art,1,25,1,0.2,25,25,Art AP
Beverly Hills USD,2004,2870,Advanced placement History of art,1,23,1,0.2,23,23,Art AP
Beverly Hills USD,2005,2870,Advanced placement History of art,1,30,1,0.2,30,30,Art AP
Beverly Hills USD,2006,2870,Advanced placement History of art,1,24,1,0.2,24,24,Art AP
Long Beach Unified,1997,2870,Advanced placement History of art,3,139,4,0.77,34.8,34.8,Art AP
Long Beach Unified,1998,2870,Advanced placement History of art,3,158,5,0.88,31.6,31.6,Art AP
Long Beach Unified,1999,2870,Advanced placement History of art,3,174,6,1.14,29,29,Art AP
Long Beach Unified,2000,2870,Advanced placement History of art,2,96,3,0.53,32,32,Art AP
Long Beach Unified,2001,2870,Advanced placement History of art,3,172,6,1.1,28.7,28.7,Art AP
Long Beach Unified,2002,2870,Advanced placement History of art,3,124,5,1.12,24.8,24.8,Art AP
Long Beach Unified,2003,2870,Advanced placement History of art,3,136,5,0.87,27.2,27.2,Art AP
Long Beach Unified,2004,2870,Advanced placement History of art,4,205,8,1.65,25.6,25.6,Art AP
Long Beach Unified,2005,2870,Advanced placement History of art,4,170,6,1.08,28.3,28.3,Art AP
Long Beach Unified,2006,2870,Advanced placement History of art,5,152,7,1.31,21.7,21.7,Art AP
Los Angeles USD,1997,2870,Advanced placement History of art,15,368,17,3.31,21.6,21.6,Art AP
Los Angeles USD,1998,2870,Advanced placement History of art,17,460,21,3.88,21.9,21.9,Art AP
Los Angeles USD,1999,2870,Advanced placement History of art,18,509,21,3.78,24.2,24.2,Art AP
Los Angeles USD,2000,2870,Advanced placement History of art,22,586,26,4.84,22.5,22.5,Art AP
Los Angeles USD,2001,2870,Advanced placement History of art,28,831,36,6.77,23.1,23.1,Art AP
Los Angeles USD,2002,2870,Advanced placement History of art,23,660,28,5.17,23.6,23.6,Art AP
Los Angeles USD,2003,2870,Advanced placement History of art,24,757,29,5.21,24.8,26.1,Music
Los Angeles USD,2004,2870,Advanced placement History of art,19,555,23,4.07,22.5,24.1,Art AP
Los Angeles USD,2005,2870,Advanced placement History of art,20,557,23,4.45,24.2,24.2,Art AP
Los Angeles USD,2006,2870,Advanced placement History of art,18,605,23,4.61,24.6,26.3,Art AP
Manhattan Beach USD,1998,2870,Advanced placement History of art,1,29,1,0.2,29,29,Art AP
Manhattan Beach USD,1999,2870,Advanced placement History of art,1,31,1,0.2,31,31,Art AP
Manhattan Beach USD,2000,2870,Advanced placement History of art,1,21,1,0.2,21,21,Art AP
Manhattan Beach USD,2001,2870,Advanced placement History of art,1,20,1,0.2,20,20,Art AP
Manhattan Beach USD,2002,2870,Advanced placement History of art,1,20,1,0.2,20,20,Art AP
Manhattan Beach USD,2003,2870,Advanced placement History of art,1,13,1,0.05,13,13,Art AP
Manhattan Beach USD,2004,2870,Advanced placement History of art,1,25,1,0.2,25,25,Art AP
Manhattan Beach USD,2005,2870,Advanced placement History of art,1,35,1,0.2,35,35,Art AP
Pasadena Unified,2001,2870,Advanced placement History of art,1,22,1,0.2,22,22,Art AP
Santa Monica-Malibu USD,2001,2870,Advanced placement History of art,1,58,2,0.4,29,29,Art AP
Santa Monica-Malibu USD,2002,2870,Advanced placement History of art,1,30,1,0.2,30,30,Art AP
Burbank Unified,2005,2370,Advanced placement Music theory,1,20,1,0.2,20,20,Music AP
Burbank Unified,2006,2370,Advanced placement Music theory,1,19,1,0.2,19,19,Music AP
Long Beach Unified,1998,2370,Advanced placement Music theory,1,17,1,0.2,17,17,Music AP
Long Beach Unified,1999,2370,Advanced placement Music theory,1,17,1,0.2,17,17,Music AP
Long Beach Unified,2000,2370,Advanced placement Music theory,2,41,2,0.36,20.5,20.5,Music AP
Long Beach Unified,2001,2370,Advanced placement Music theory,1,20,1,0.2,20,20,Music AP
Long Beach Unified,2002,2370,Advanced placement Music theory,1,23,1,0.2,23,23,Music AP
Long Beach Unified,2003,2370,Advanced placement Music theory,1,30,1,0.2,30,30,Music AP
Long Beach Unified,2004,2370,Advanced placement Music theory,1,25,1,0.2,25,25,Music AP
Long Beach Unified,2005,2370,Advanced placement Music theory,1,14,1,0.2,14,14,Music AP
Long Beach Unified,2006,2370,Advanced placement Music theory,2,40,2,0.36,20,20,Music AP
Los Angeles USD,1997,2370,Advanced placement Music theory,1,21,1,0.2,21,21,Music AP
Los Angeles USD,1998,2370,Advanced placement Music theory,5,61,5,0.9,12.2,12.2,Music AP
Los Angeles USD,1999,2370,Advanced placement Music theory,4,59,4,0.74,14.8,14.8,Music AP
Los Angeles USD,2000,2370,Advanced placement Music theory,5,61,5,0.91,12.2,12.2,Music AP
Los Angeles USD,2001,2370,Advanced placement Music theory,4,77,4,0.71,19.2,19.2,Music AP
Los Angeles USD,2002,2370,Advanced placement Music theory,5,68,5,0.91,13.6,13.6,Music AP
Los Angeles USD,2003,2370,Advanced placement Music theory,9,272,12,1.92,22.7,22.7,Art AP
Los Angeles USD,2004,2370,Advanced placement Music theory,12,173,12,2.13,14.4,14.4,Music AP
Los Angeles USD,2005,2370,Advanced placement Music theory,12,202,12,2.22,16.8,16.8,Music AP
Los Angeles USD,2006,2370,Advanced placement Music theory,11,164,11,2.03,14.9,14.9,Music AP
Manhattan Beach USD,2005,2370,Advanced placement Music theory,1,22,1,0.2,22,22,Music AP
Manhattan Beach USD,2006,2370,Advanced placement Music theory,1,28,1,0.2,28,28,Music AP
Pasadena Unified,2006,2370,Advanced placement Music theory,1,4,1,0.2,4,4,Music AP
Santa Monica-Malibu USD,2003,2370,Advanced placement Music theory,1,10,1,0.2,10,10,Music AP
Santa Monica-Malibu USD,2005,2370,Advanced placement Music theory,1,18,1,0.2,18,18,Music AP
Santa Monica-Malibu USD,2006,2370,Advanced placement Music theory,1,13,1,0.2,13,13,Music AP
Beverly Hills USD,2006,2873,Advanced placement Studio Art,1,43,2,0.4,21.5,21.5,Art AP
Burbank Unified,2006,2873,Advanced placement Studio Art,1,17,1,0.2,17,17,Art AP
Long Beach Unified,2006,2873,Advanced placement Studio Art,1,17,1,0.17,17,17,Art AP
Los Angeles USD,2006,2873,Advanced placement Studio Art,23,515,29,5.77,17.8,17.8,Art AP
Manhattan Beach USD,2006,2873,Advanced placement Studio Art,1,62,2,0.4,31,31,Art AP
Pasadena Unified,2006,2873,Advanced placement Studio Art,1,74,2,0.4,37,37,Art AP
Santa Monica-Malibu USD,2006,2873,Advanced placement Studio Art,2,142,6,1.2,23.7,23.7,Art AP
Beverly Hills USD,2001,2872,Advanced placement Studio art draw. portfolio,1,32,1,0.2,32,32,Art AP
Beverly Hills USD,2004,2872,Advanced placement Studio art draw. portfolio,1,13,1,0.2,13,13,Art AP
Beverly Hills USD,2005,2872,Advanced placement Studio art draw. portfolio,1,16,1,0.2,16,16,Art AP
Long Beach Unified,1997,2872,Advanced placement Studio art draw. portfolio,2,50,2,0.37,25,25,Art AP
Long Beach Unified,1998,2872,Advanced placement Studio art draw. portfolio,2,69,2,0.37,34.5,34.5,Art AP
Long Beach Unified,1999,2872,Advanced placement Studio art draw. portfolio,1,23,1,0.2,23,23,Art AP
Long Beach Unified,2000,2872,Advanced placement Studio art draw. portfolio,4,181,6,1.09,30.2,30.2,Art AP
Los Angeles USD,1997,2872,Advanced placement Studio art draw. portfolio,3,49,3,0.52,16.3,16.3,Art AP
Los Angeles USD,1998,2872,Advanced placement Studio art draw. portfolio,4,83,4,0.8,20.8,20.8,Art AP
Los Angeles USD,1999,2872,Advanced placement Studio art draw. portfolio,5,117,5,1,23.4,23.4,Art AP
Los Angeles USD,2000,2872,Advanced placement Studio art draw. portfolio,4,56,4,0.83,14,14,Art AP
Los Angeles USD,2001,2872,Advanced placement Studio art draw. portfolio,25,540,29,5.62,18.6,18.6,Art AP
Los Angeles USD,2002,2872,Advanced placement Studio art draw. portfolio,29,699,34,6.6,20.6,20.6,Art AP
Los Angeles USD,2003,2872,Advanced placement Studio art draw. portfolio,23,471,24,4.45,19.6,19.6,Art AP
Los Angeles USD,2004,2872,Advanced placement Studio art draw. portfolio,29,590,34,6.35,17.4,17.4,Art AP
Los Angeles USD,2005,2872,Advanced placement Studio art draw. portfolio,27,682,32,6.41,20.4,21.3,Art AP
Manhattan Beach USD,2003,2872,Advanced placement Studio art draw. portfolio,1,1,1,0.2,1,1,Art AP
Manhattan Beach USD,2004,2872,Advanced placement Studio art draw. portfolio,1,5,1,0.2,5,5,Art AP
