"Region Total","Year","# of Schools w/Fine Art Programs","# of Fine Art Classes"
"Alameda County","2010-11",132,1528
"Alameda County","2008-09",127,1505
"Alameda County","2007-08",133,1496
"Alameda County","2006-07",123,1652
"Alameda County","2005-06",114,1455
"Alameda County","2004-05",117,1435
"Alameda County","2003-04",107,1349
"Alameda County","2002-03",110,1517
"Alameda County","2001-02",115,1493
"Alameda County","2000-01",139,1466
"Alameda County","1999-00",160,1661
"Alameda County","1998-99",147,1644
"Alameda County","1997-98",129,1454
"Kern County","2010-11",93,1179
"Kern County","2008-09",94,1071
"Kern County","2007-08",92,1168
"Kern County","2006-07",85,1126
"Kern County","2005-06",79,1094
"Kern County","2004-05",78,1094
"Kern County","2003-04",81,1027
"Kern County","2002-03",79,1162
"Kern County","2001-02",83,1196
"Kern County","2000-01",82,1145
"Kern County","1999-00",87,1243
"Kern County","1998-99",86,1224
"Kern County","1997-98",89,1156
"Los Angeles County","2010-11",766,11224
"Los Angeles County","2008-09",687,10050
"Los Angeles County","2007-08",654,10590
"Los Angeles County","2006-07",618,9956
"Los Angeles County","2005-06",595,9781
"Los Angeles County","2004-05",610,10371
"Los Angeles County","2003-04",600,9981
"Los Angeles County","2002-03",674,9504
"Los Angeles County","2001-02",659,9675
"Los Angeles County","2000-01",182,3220
"Los Angeles County","1999-00",600,9623
"Los Angeles County","1998-99",571,9228
"Los Angeles County","1997-98",576,8828
"Orange County","2010-11",192,3174
"Orange County","2008-09",191,3517
"Orange County","2007-08",190,3656
"Orange County","2006-07",197,3550
"Orange County","2005-06",185,3127
"Orange County","2004-05",173,3363
"Orange County","2003-04",180,3206
"Orange County","2002-03",188,3448
"Orange County","2001-02",182,3129
"Orange County","2000-01",124,1870
"Orange County","1999-00",201,3518
"Orange County","1998-99",215,3354
"Orange County","1997-98",220,3190
"Riverside County","2010-11",172,3039
"Riverside County","2008-09",164,2454
"Riverside County","2007-08",157,2474
"Riverside County","2006-07",148,2389
"Riverside County","2005-06",143,2327
"Riverside County","2004-05",142,2243
"Riverside County","2003-04",135,2105
"Riverside County","2002-03",132,2228
"Riverside County","2001-02",127,2007
"Riverside County","2000-01",124,1870
"Riverside County","1999-00",166,2034
"Riverside County","1998-99",154,1935
"Riverside County","1997-98",141,1876
"Sacramento County","2010-11",145,1951
"Sacramento County","2008-09",123,1562
"Sacramento County","2007-08",124,1574
"Sacramento County","2006-07",119,1384
"Sacramento County","2005-06",103,1258
"Sacramento County","2004-05",105,1328
"Sacramento County","2003-04",96,1310
"Sacramento County","2002-03",89,1424
"Sacramento County","2001-02",80,1286
"Sacramento County","2000-01",96,1359
"Sacramento County","1999-00",132,1498
"Sacramento County","1998-99",110,1312
"Sacramento County","1997-98",109,1282
"San Bernandino County","2010-11",184,2938
"San Bernandino County","2008-09",171,2385
"San Bernandino County","2007-08",165,2376
"San Bernandino County","2006-07",149,2256
"San Bernandino County","2005-06",150,2401
"San Bernandino County","2004-05",149,2249
"San Bernandino County","2003-04",144,2168
"San Bernandino County","2002-03",163,2399
"San Bernandino County","2001-02",164,2293
"San Bernandino County","2000-01",162,2186
"San Bernandino County","1999-00",175,2319
"San Bernandino County","1998-99",164,2252
"San Bernandino County","1997-98",159,2281
"San Diego County","2010-11",246,3221
"San Diego County","2008-09",243,3154
"San Diego County","2007-08",237,3502
"San Diego County","2006-07",215,3398
"San Diego County","2005-06",208,3206
"San Diego County","2004-05",199,2928
"San Diego County","2003-04",180,2729
"San Diego County","2002-03",195,3150
"San Diego County","2001-02",196,2869
"San Diego County","2000-01",191,2595
"San Diego County","1999-00",228,2637
"San Diego County","1998-99",221,2377
"San Diego County","1997-98",215,2417
"San Francisco County","2010-11",46,584
"San Francisco County","2008-09",40,600
"San Francisco County","2007-08",46,686
"San Francisco County","2006-07",38,534
"San Francisco County","2005-06",39,502
"San Francisco County","2004-05",33,406
"San Francisco County","2003-04",31,359
"San Francisco County","2002-03",33,372
"San Francisco County","2001-02",31,382
"San Francisco County","2000-01",35,459
"San Francisco County","1999-00",36,436
"San Francisco County","1998-99",36,370
"San Francisco County","1997-98",36,517
"State of California","2010-11",3162,45400
"State of California","2008-09",3242,41768
"State of California","2007-08",3189,43110
"State of California","2006-07",2952,41643
"State of California","2005-06",2851,40215
"State of California","2004-05",2806,40339
"State of California","2003-04",2766,38996
"State of California","2002-03",2930,41086
"State of California","2001-02",2881,39797
"State of California","2000-01",2903,39414
"State of California","1999-00",3261,41721
"State of California","1998-99",3108,40058
"State of California","1997-98",3053,38672
"Ventura County","2010-11",83,839
"Ventura County","2008-09",75,816
"Ventura County","2007-08",69,828
"Ventura County","2006-07",64,794
"Ventura County","2005-06",62,797
"Ventura County","2004-05",60,783
"Ventura County","2003-04",62,762
"Ventura County","2002-03",62,748
"Ventura County","2001-02",53,661
"Ventura County","2000-01",57,649
"Ventura County","1999-00",61,669
"Ventura County","1998-99",61,665
"Ventura County","1997-98",58,614
