School_District,Year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Burbank Unified,1998,2800,Ceramics,3,145,5,0.91,29.0,29.0,Art
Burbank Unified,1998,2801,Design,1,21,1,0.2,21,21,Art
Burbank Unified,1998,2802,Crafts,3,183,6,1.17,30.5,30.5,Art
Burbank Unified,1998,2806,Drawing,3,262,8,1.57,32.8,32.8,Art
Burbank Unified,1998,2809,Cinematography,1,62,2,0.4,31,31,Art
Burbank Unified,1998,2810,Basic art,3,226,8,1.46,28.2,28.2,Art
Burbank Unified,1998,2821,Yearbook,1,21,1,0.23,21,21,Art
Burbank Unified,1998,2898,Other art course,3,162,7,1.46,23.1,23.1,Art
Burbank Unified,1998,2352,Dance choreography and production,2,62,2,0.4,31,31,Dance
Burbank Unified,1998,2900,Theater/play production,2,45,2,0.4,22.5,22.5,Drama/Theater
Burbank Unified,1998,2901,Drama/creative dramatics,3,157,5,0.89,31.4,31.4,Drama/Theater
Burbank Unified,1998,2905,Technical theater/stagecraft,2,60,3,0.54,20,20,Drama/Theater
Burbank Unified,1998,2908,Media/film/video/television production,1,1,1,0.2,1,1,Drama/Theater
Burbank Unified,1998,2300,Band,5,623,13,2.41,35.4,47.9,Music
Burbank Unified,1998,2303,Orchestra,3,85,3,0.57,28.3,28.3,Music
Burbank Unified,1998,2305,Chorus/choir,6,456,12,2.17,31.9,38,Music
Burbank Unified,1998,2310,Instrumental music lessons,1,20,1,0.2,20,20,Music
Burbank Unified,1998,2313,Swing/show choir,2,73,2,0.37,36.5,36.5,Music
Burbank Unified,1998,2314,Chamber/madrigal/vocal ensemble,3,107,3,0.58,35.7,35.7,Music
Burbank Unified,1998,2315,Classroom/general/exploratory music,1,53,1,0.2,0,53,Music
Burbank Unified,1998,2398,Other music course,2,58,2,0.4,29,29,Music
Burbank Unified,1998,2501,"Dance, all phases",2,254,6,1.2,40,42.3,Dance/Physical Education
Burbank Unified,1998,5751,Graphic communications,1,62,2,0.4,31,31,"Visual Comm, Graphics"
Burbank Unified,1998,5754,Commercial art,1,17,1,0.2,17,17,"Visual Comm, Graphics"
Burbank Unified,1998,5755,Commercial photography,1,14,1,0.2,14,14,"Visual Comm, Graphics"
Burbank Unified,1998,5757,Desktop publishing,1,24,1,0.2,24,24,"Visual Comm, Graphics"
Burbank Unified,1998,5759,"Photography, lithography, and platemaking",1,118,4,0.8,29.5,29.5,"Visual Comm, Graphics"
Burbank Unified,1998,5760,Photographic laboratory and darkroom,2,153,5,0.98,30.6,30.6,"Visual Comm, Graphics"
Burbank Unified,1998,5798,"Other visual communications, graphics course",2,141,5,0.97,28.2,28.2,"Visual Comm, Graphics"
Burbank Unified,1999,2800,Ceramics,1,53,2,0.36,26.5,26.5,Art
Burbank Unified,1999,2801,Design,1,31,1,0.2,31,31,Art
Burbank Unified,1999,2805,Photography,1,31,1,0.2,31,31,Art
Burbank Unified,1999,2806,Drawing,2,190,5,0.98,38,38,Art
Burbank Unified,1999,2809,Cinematography,1,57,2,0.4,28.5,28.5,Art
Burbank Unified,1999,2810,Basic art,3,350,12,2.28,29.2,29.2,Art
Burbank Unified,1999,2821,Yearbook,1,33,1,0.2,33,33,Art
Burbank Unified,1999,2898,Other art course,3,188,7,1.4,26.9,26.9,Art
Burbank Unified,1999,2352,Dance choreography and production,2,76,3,0.6,25.3,25.3,Dance
Burbank Unified,1999,2355,Dance fundamentals,1,97,2,0.4,45,48.5,Dance
Burbank Unified,1999,2357,"Ballet, modern, jazz dance",1,70,2,0.4,35,35,Dance
Burbank Unified,1999,2358,Other dance course,1,47,2,0.4,23.5,23.5,Dance
Burbank Unified,1999,2900,Theater/play production,3,68,3,0.58,22.7,22.7,Drama/Theater
Burbank Unified,1999,2901,Drama/creative dramatics,3,215,7,1.34,30.7,30.7,Drama/Theater
Burbank Unified,1999,2905,Technical theater/stagecraft,2,52,2,0.38,26,26,Drama/Theater
Burbank Unified,1999,2300,Band,5,775,16,3.21,36.2,48.4,Music
Burbank Unified,1999,2303,Orchestra,2,65,2,0.38,32.5,32.5,Music
Burbank Unified,1999,2305,Chorus/choir,4,288,7,1.3,38.3,41.1,Music
Burbank Unified,1999,2306,Vocal jazz/jazz choir,1,20,1,0.2,20,20,Music
Burbank Unified,1999,2313,Swing/show choir,3,204,5,0.98,33.3,40.8,Music
Burbank Unified,1999,2314,Chamber/madrigal/vocal ensemble,3,285,6,1.18,45.2,47.5,Music
Burbank Unified,1999,2398,Other music course,1,26,1,0.2,26,26,Music
