"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","PA","30140","Lebanon, PA","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",290,21.8,6.139,44.58,"40320",7,"17920","23160","35780","52440","70260"
"2011","PA","30140","Lebanon, PA","27-1024","Graphic Designers",,50,19.7,1.133,27.3,"40170",7.4,"24940","28150","37950","49890","57430"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major","24230",2.9,13.352,23.95,"54430",1.8,"21750","31730","46350","67700","93380"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1011","Art Directors",,450,10.7,0.249,14.91,"91460",3.3,"49040","62290","86980","111950","139870"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",,140,26.4,0.078,13.07,"59190",11.6,"31840","41840","50660","76950","97240"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1014","Multimedia Artists and Animators",,190,21.4,0.103,12.24,"59760",5.8,"29360","42320","52850","70370","92660"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1019","Artists and Related Workers, All Other",,60,33.6,0.034,11.94,"70290",7.1,"39280","45210","75840","92990","101860"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1021","Commercial and Industrial Designers",,480,16.3,0.263,11.81,"62410",4.2,"34320","51200","62460","74510","89210"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1022","Fashion Designers",,50,30.5,0.029,11.52,"64220",4.7,"39720","43760","54300","74470","119810"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1023","Floral Designers",,760,14.1,0.417,11.35,"30030",6.3,"20110","24720","28400","33500","41000"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1024","Graphic Designers",,"3320",6.6,1.829,10.18,"50690",1.7,"32090","37980","45930","60530","77520"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1025","Interior Designers",,890,18.8,0.49,9.89,"49710",6.4,"21620","33140","48840","63540","80410"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1026","Merchandise Displayers and Window Trimmers",,290,20.9,0.162,9.01,"32710",5.3,"20790","25440","29580","36500","52020"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1027","Set and Exhibit Designers",,110,33,0.059,8.69,"42760",5.7,"24300","33240","41160","52370","64930"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-1029","Designers, All Other",,60,28.2,0.033,8.53,"59180",3.5,"34590","46190","59300","71900","85470"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-2012","Producers and Directors",,890,9.4,0.488,8.47,"72960",6.8,"24840","41550","57750","88080","157220"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-2041","Music Directors and Composers",,330,24,0.183,8.02,"68400",11.8,"30420","39140","60480","103480","114010"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3011","Radio and Television Announcers",,460,20.8,0.251,7.67,"41080",10.9,"16720","18660","24120","45660","78740"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3022","Reporters and Correspondents",,520,15,0.288,7.63,"37260",5.1,"21070","26740","34350","46470","58050"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3031","Public Relations Specialists",,"4350",6.5,2.397,7.15,"69750",4.5,"25390","43350","58370","83200","124620"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3041","Editors",,"1910",8.6,1.051,6.98,"58800",3.9,"31500","41410","52830","73320","92420"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3042","Technical Writers",,720,9.3,0.397,6.85,"73860",2.1,"43440","61290","75050","89240","102350"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3043","Writers and Authors",,770,17.9,0.426,6.68,"65480",4.2,"40200","46810","60660","79470","103630"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3091","Interpreters and Translators",,580,29.4,0.322,6.63,"41670",13.5,"21760","27390","40660","51820","68800"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-3099","Media and Communication Workers, All Other",,190,23.3,0.107,6.58,"42860",7.1,"24460","28970","39660","49530","67520"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-4011","Audio and Video Equipment Technicians",,790,14.5,0.437,6.35,"45830",2.7,"30520","36010","43550","54510","67540"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-4012","Broadcast Technicians",,240,12.3,0.131,6.25,"39110",5.5,"19820","23590","35280","53270","60690"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-4014","Sound Engineering Technicians",,150,33.1,0.082,6.25,"46480",7.6,"23380","29540","40560","57490","81250"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-4021","Photographers",,730,15.7,0.401,6.21,"31930",4.6,"20250","25550","30500","37540","44600"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-4031","Camera Operators, Television, Video, and Motion Picture",,160,11.9,0.089,6.19,"58420",15.8,"22180","28990","44950","73400","107030"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-4032","Film and Video Editors",,150,26.1,0.082,6.18,"58250",9.8,"31460","36960","49970","77250","94880"
"2011","PA","37964","Philadelphia, PA Metropolitan Division","27-4099","Media and Communication Equipment Workers, All Other",,140,18.7,0.076,6.15,"68130",12.4,"23440","42630","60330","86670","133480"
"2011","PA","38300","Pittsburgh, PA","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major","13010",6.6,11.675,6.14,"45380",2.9,"18750","26770","39530","55550","74250"
"2011","PA","38300","Pittsburgh, PA","27-1011","Art Directors",,160,16.3,0.148,6.01,"72810",5.1,"36530","50040","67050","86370","124990"
"2011","PA","38300","Pittsburgh, PA","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",,40,16.1,0.035,5.99,"43020",8.3,"24580","28170","36330","48770","58380"
"2011","PA","38300","Pittsburgh, PA","27-1014","Multimedia Artists and Animators",,130,20.2,0.116,5.98,"48240",3.5,"28250","36150","44500","54990","71810"
"2011","PA","38300","Pittsburgh, PA","27-1023","Floral Designers",,410,14.5,0.369,5.95,"25080",5.2,"17860","20550","23710","29390","34980"
"2011","PA","38300","Pittsburgh, PA","27-1024","Graphic Designers",,"1540",6.2,1.379,5.94,"41170",1.8,"25910","32100","38420","47830","60860"
"2011","PA","38300","Pittsburgh, PA","27-1025","Interior Designers",,170,22.3,0.151,5.93,"44090",5.1,"24880","34480","44410","54690","61590"
"2011","PA","38300","Pittsburgh, PA","27-1026","Merchandise Displayers and Window Trimmers",,300,31.1,0.272,5.9,"28450",5.3,"20030","22120","26700","33450","38960"
"2011","PA","38300","Pittsburgh, PA","27-2012","Producers and Directors",,290,20.4,0.256,5.75,"58130",6.6,"19490","33190","51430","74330","92850"
"2011","PA","38300","Pittsburgh, PA","27-2041","Music Directors and Composers",,310,26.7,0.277,5.58,"51240",7.8,"20860","36070","47610","58240","88110"
"2011","PA","38300","Pittsburgh, PA","27-3011","Radio and Television Announcers",,260,33.6,0.23,5.51,"38850",21.3,"16680","18530","25700","37480","83880"
"2011","PA","38300","Pittsburgh, PA","27-3022","Reporters and Correspondents",,390,21.2,0.352,5.51,"44890",4.9,"22620","31290","44410","56590","68010"
"2011","PA","38300","Pittsburgh, PA","27-3031","Public Relations Specialists",,"2200",9.1,1.974,5.39,"53530",2.4,"28260","36500","47330","64360","87300"
