"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","AK","11260","Anchorage, AK","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",2180,4.9,12.947,1.3,44180,3.6,25180,32390,39870,50290,70270
"2011","AK","11260","Anchorage, AK","27-1023","Floral Designers",,50,12.7,0.288,1.3,24950,6,17730,19600,25080,29030,33120
"2011","AK","11260","Anchorage, AK","27-1024","Graphic Designers",,170,21.4,0.999,1.3,56490,6.9,31150,40630,53860,76150,87980
"2011","AK","11260","Anchorage, AK","27-1026","Merchandise Displayers and Window Trimmers",,490,4.3,2.888,1.3,33900,3.9,29400,31400,33830,36270,37730
"2011","AK","11260","Anchorage, AK","27-2012","Producers and Directors",,50,25.6,0.273,1.3,41420,6.8,28630,32960,37920,50820,59250
"2011","AK","11260","Anchorage, AK","27-3011","Radio and Television Announcers",,80,40.3,0.447,1.3,35040,9.4,17850,20740,39910,44660,47500
"2011","AK","11260","Anchorage, AK","27-3022","Reporters and Correspondents",,60,23.1,0.352,1.3,45430,4.8,32040,36400,46010,54890,59700
"2011","AK","11260","Anchorage, AK","27-3031","Public Relations Specialists",,210,14.6,1.265,1.3,63900,8.7,35130,41410,51100,69840,92790
"2011","AK","11260","Anchorage, AK","27-3041","Editors",,90,10.1,0.564,1.3,53690,3.6,32130,41270,51480,63740,82440
"2011","AK","11260","Anchorage, AK","27-3042","Technical Writers",,40,17,0.23,1.3,61580,3.8,43700,49330,57900,76340,87640
"2011","AK","11260","Anchorage, AK","27-3043","Writers and Authors",,40,36.2,0.241,1.3,65470,11.6,42830,50010,63430,82910,91410
"2011","AK","11260","Anchorage, AK","27-3099","Media and Communication Workers, All Other",,40,7.8,0.266,1.3,47150,3.7,27900,40190,46190,57000,66070
"2011","AK","11260","Anchorage, AK","27-4011","Audio and Video Equipment Technicians",,130,28.5,0.77,1.29,35130,5.2,24760,28500,34460,41730,47250
"2011","AK","11260","Anchorage, AK","27-4012","Broadcast Technicians",,90,45.8,0.525,1.29,37860,8.4,21260,38500,41770,44930,46830
"2011","AK","11260","Anchorage, AK","27-4021","Photographers",,70,16.4,0.424,1.29,33630,23.8,17340,18950,31140,42980,61610
"2011","AK","11260","Anchorage, AK","27-4099","Media and Communication Equipment Workers, All Other",,100,25.8,0.594,1.29,40630,20.8,17310,18870,36660,48420,79550
"2011","AL","13820","Birmingham, AL","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",5370,9.3,11.285,1.29,38130,5.1,16910,19300,32790,48740,66170
"2011","AL","13820","Birmingham, AL","27-1011","Art Directors",,90,12,0.187,1.29,83760,6.8,47780,55390,72180,94310,139190
"2011","AL","13820","Birmingham, AL","27-1012","Craft Artists",,60,27.2,0.133,1.29,24510,7.6,16940,19100,23940,29080,34510
"2011","AL","13820","Birmingham, AL","27-1023","Floral Designers",,190,27.3,0.392,1.29,21050,2.5,16710,18670,21130,23360,26170
