PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"2,180",4.9,12.947,1.3,21.24,"44,180",3.6,12.1,15.57,19.17,24.18,33.78,"25,180","32,390","39,870","50,290","70,270",,
AK,11260,"Anchorage, AK",27-4011,Audio and Video Equipment Technicians,,130,28.5,0.77,1.29,16.89,"35,130",5.2,11.9,13.7,16.57,20.06,22.71,"24,760","28,500","34,460","41,730","47,250",,
AK,11260,"Anchorage, AK",27-4012,Broadcast Technicians,,90,45.8,0.525,1.29,18.2,"37,860",8.4,10.22,18.51,20.08,21.6,22.52,"21,260","38,500","41,770","44,930","46,830",,
AK,11260,"Anchorage, AK",27-2022,Coaches and Scouts,,150,31.1,0.902,1.3,0.0,"42,610",3.0,0.0,0.0,0.0,0.0,0.0,"31,530","37,730","42,370","46,180","48,460",TRUE,
AK,11260,"Anchorage, AK",27-3041,Editors,,90,10.1,0.564,1.3,25.81,"53,690",3.6,15.45,19.84,24.75,30.64,39.63,"32,130","41,270","51,480","63,740","82,440",,
AK,11260,"Anchorage, AK",27-1023,Floral Designers,,50,12.7,0.288,1.3,12.0,"24,950",6.0,8.53,9.42,12.06,13.96,15.92,"17,730","19,600","25,080","29,030","33,120",,
AK,11260,"Anchorage, AK",27-1024,Graphic Designers,,170,21.4,0.999,1.3,27.16,"56,490",6.9,14.98,19.53,25.9,36.61,42.3,"31,150","40,630","53,860","76,150","87,980",,
AK,11260,"Anchorage, AK",27-4099,"Media and Communication Equipment Workers, All Other",,100,25.8,0.594,1.29,19.54,"40,630",20.8,8.32,9.07,17.63,23.28,38.25,"17,310","18,870","36,660","48,420","79,550",,
AK,11260,"Anchorage, AK",27-3099,"Media and Communication Workers, All Other",,40,7.8,0.266,1.3,22.67,"47,150",3.7,13.41,19.32,22.21,27.41,31.77,"27,900","40,190","46,190","57,000","66,070",,
AK,11260,"Anchorage, AK",27-1026,Merchandise Displayers and Window Trimmers,,490,4.3,2.888,1.3,16.3,"33,900",3.9,14.13,15.1,16.27,17.44,18.14,"29,400","31,400","33,830","36,270","37,730",,
AK,11260,"Anchorage, AK",27-4021,Photographers,,70,16.4,0.424,1.29,16.17,"33,630",23.8,8.34,9.11,14.97,20.67,29.62,"17,340","18,950","31,140","42,980","61,610",,
AK,11260,"Anchorage, AK",27-2012,Producers and Directors,,50,25.6,0.273,1.3,19.91,"41,420",6.8,13.77,15.84,18.23,24.43,28.49,"28,630","32,960","37,920","50,820","59,250",,
AK,11260,"Anchorage, AK",27-3031,Public Relations Specialists,,210,14.6,1.265,1.3,30.72,"63,900",8.7,16.89,19.91,24.57,33.58,44.61,"35,130","41,410","51,100","69,840","92,790",,
AK,11260,"Anchorage, AK",27-3011,Radio and Television Announcers,,80,40.3,0.447,1.3,16.85,"35,040",9.4,8.58,9.97,19.19,21.47,22.84,"17,850","20,740","39,910","44,660","47,500",,
AK,11260,"Anchorage, AK",27-3022,Reporters and Correspondents,,60,23.1,0.352,1.3,21.84,"45,430",4.8,15.41,17.5,22.12,26.39,28.7,"32,040","36,400","46,010","54,890","59,700",,
AK,11260,"Anchorage, AK",27-3042,Technical Writers,,40,17.0,0.23,1.3,29.6,"61,580",3.8,21.01,23.71,27.84,36.7,42.13,"43,700","49,330","57,900","76,340","87,640",,
AK,11260,"Anchorage, AK",27-3043,Writers and Authors,,40,36.2,0.241,1.3,31.48,"65,470",11.6,20.59,24.04,30.49,39.86,43.95,"42,830","50,010","63,430","82,910","91,410",,
AK,21820,"Fairbanks, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,320,10.6,9.016,1.29,19.77,"41,130",6.3,10.89,13.62,18.27,24.8,29.67,"22,660","28,320","37,990","51,580","61,710",,
AK,21820,"Fairbanks, AK",27-2022,Coaches and Scouts,,60,39.8,1.572,1.29,0.0,"48,750",4.8,0.0,0.0,0.0,0.0,0.0,"33,180","36,960","45,490","55,130","75,450",TRUE,
AK,21820,"Fairbanks, AK",27-1026,Merchandise Displayers and Window Trimmers,,30,9.8,0.886,1.29,13.55,"28,190",3.5,11.96,12.56,13.56,14.56,15.83,"24,870","26,120","28,210","30,290","32,920",,
AK,21820,"Fairbanks, AK",27-3031,Public Relations Specialists,,60,9.2,1.719,1.29,25.59,"53,220",3.3,15.23,20.38,25.52,30.09,34.47,"31,670","42,390","53,090","62,600","71,690",,
AL,11500,"Anniston-Oxford, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,460,14.4,9.998,1.29,17.86,"37,140",6.6,8.12,9.32,16.03,23.58,29.4,"16,890","19,390","33,340","49,050","61,150",,
AL,11500,"Anniston-Oxford, AL",27-2022,Coaches and Scouts,,90,30.5,1.942,1.29,0.0,"47,780",4.2,0.0,0.0,0.0,0.0,0.0,"20,180","30,960","45,900","56,880","67,980",TRUE,
AL,11500,"Anniston-Oxford, AL",27-1026,Merchandise Displayers and Window Trimmers,,90,31.7,1.948,1.29,8.65,"17,980",7.2,7.54,7.87,8.42,8.97,9.38,"15,670","16,360","17,510","18,660","19,510",,
AL,11500,"Anniston-Oxford, AL",27-4021,Photographers,,0,0.0,0.0,1.29,12.9,"26,820",3.5,8.62,10.11,11.87,14.18,20.87,"17,920","21,020","24,690","29,500","43,410",,
AL,11500,"Anniston-Oxford, AL",27-3031,Public Relations Specialists,,50,11.8,1.107,1.29,24.08,"50,080",5.6,12.49,14.8,18.37,33.09,45.24,"25,980","30,790","38,210","68,820","94,090",,
