,,,LA Co-op,,,,
,,,Cross Budget for LASA Community,,,,
,,,Report Data Last Updated: 7/2/12,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Organization,,,Budget,,,
1,18th Street Arts Center,,,"$500,000 - $1m",,,
2,24th Street Theatre Company,,,"< $500,000",,,
3,A Noise Within,,,$3m - $6m,,,
4,About Productions,,,"< $500,000",,,
5,"Antaeus Company, The",,,"< $500,000",,,
6,Antics Performance,,,"< $500,000",,,
7,Arts for LA,,,"< $500,000",,,
8,Arts Orange County,,,$6m - $12m,,,
9,Autry National Center of the American West,,,> $12m,,,
10,Bethune TheatreDanse,,,"< $500,000",,,
11,Breath of Fire Latina Theater,,,"< $500,000",,,
12,Broad Stage,,,$6m - $12m,,,
13,Broadway / LA,,,> $12m,,,
14,Cabrillo Music Theatre,,,$1m - $3m,,,
15,California Repertory Company,,,$1m - $3m,,,
16,Camerata Pacifica,,,$1m - $3m,,,
17,Center Theatre Group,,,$3m - $6m,,,
18,Chance Theatre,,,"< $500,000",,,
19,Circle X Theatre Company,,,"< $500,000",,,
20,Cirque du Soleil - Iris at Hollywood & Highland,,,> $12m,,,
21,City of Los Angeles Department of Cultural Affairs,,,"< $500,000",,,
22,CoffeeHouse Productions,,,"< $500,000",,,
23,Colony Theatre,,,"$500,000 - $1m",,,
24,Contra-Tiempo,,,"< $500,000",,,
25,Cornerstone Theatre Company,,,"$500,000 - $1m",,,
26,Da Camera Society of Mount St Mary's College,,,"< $500,000",,,
27,Dance Resource Center,,,"< $500,000",,,
28,Deaf West Theatre,,,"< $500,000",,,
29,Diavolo Dance Theater,,,$1m - $3m,,,
30,Donna Sternberg & Dancers,,,"< $500,000",,,
31,Eclectic Theatre Company,,,"< $500,000",,,
32,Ensemble Studio Theatre,,,"< $500,000",,,
33,Falcon Theatre,,,"< $500,000",,,
34,Festival Ballet Theatre,,,"$500,000 - $1m",,,
35,Film Independent,,,$6m - $12m,,,
36,Geffen Playhouse,,,$6m - $12m,,,
37,Grand Guignolers,,,"< $500,000",,,
38,Grand Peformances,,,$1m - $3m,,,
39,"Great Leap, Inc.",,,"< $500,000",,,
40,Heidi Duckler Dance Theatre,,,"< $500,000",,,
