STATE,			OCC_TITLE,TOT_EMP,	JOBS_1000,LOC_Q,	H_MEAN,
Alaska,			Dancers,	70,	0.239,	2.72,	14.12,	
Arizona,			Dancers,	100,	0.041,	0.46,	17.34,	
California,		Dancers,	"2,010",	0.143,	1.63,	14.26,	
Colorado,			Dancers,	**,	**,	**,	15.86,	
Connecticut,		Dancers,	60,	0.039,	0.44,	16.46,	
District of Columbia,	Dancers,	110,	0.166,	1.90,	25.10,	
Florida,			Dancers,	350,	0.049,	0.56,	15.93,	
Georgia,			Dancers,	40,	0.010,	0.11,	17.97,	
Hawaii,			Dancers,	750,	1.305,	14.90,	16.84,	
Illinois,			Dancers,	310,	0.055,	0.63,	12.81,	
Indiana,			Dancers,	300,	0.109,	1.24,	8.63,	
Iowa,			Dancers,	**,	**,	**,	16.90,	
Kentucky,			Dancers,	**,	**,	**,	12.10,	
Maryland,			Dancers,	**,	**,	**,	13.23,	
Massachusetts,		Dancers,	**,	**,	**,	16.91,	
Michigan,			Dancers,	70,	0.018,	0.21,	11.38,	
Missouri,			Dancers,	280,	0.109,	1.25,	13.56,	
Nevada,			Dancers,	840,	0.750,	8.57,	29.39,	
New Jersey,		Dancers,	130,	0.035,	0.40,	14.46,	
New York,			Dancers,	"2,	28.8,	0.268,	3.06,	
North Carolina,		Dancers,	120,	0.032,	0.37,	*,	
Ohio,			Dancers,	260,	0.052,	0.59,	14.82,	
Oklahoma,			Dancers,	70,	0.044,	0.50,	15.88,	
Oregon,			Dancers,	100,	0.061,	0.69,	22.18,	
Pennsylvania,		Dancers,	260,	0.047,	0.54,	14.83,	
South Carolina,		Dancers,	100,	0.056,	0.63,	16.86,	
Tennessee,		Dancers,	190,	0.073,	0.83,	14.38,	
Texas,			Dancers,	340,	0.033,	0.38,	20.02,	
Utah,			Dancers,	250,	0.212,	2.42,	16.82,	
Virginia,			Dancers,	140,	0.038,	0.44,	17.59,	
Wisconsin,		Dancers,	70,	0.025,	0.28,	17.60,	


state_M2011_dl.csv:253: 01,AL,Alabama,Writers and Authors,,220,11.4,0.123,0.39,28.87,"60,050",5.2,14.02,18.19,26.63,37.67,44.37,"29,150","37,830","55,400","78,350","92,290",,
state_M2011_dl.csv:929: 02,AK,Alaska,Writers and Authors,,110,18.3,0.355,1.11,29.83,"62,050",5.1,19.64,23.89,27.95,37.52,43.09,"40,840","49,690","58,140","78,050","89,640",,
state_M2011_dl.csv:1543: 04,AZ,Arizona,Writers and Authors,,540,18.9,0.226,0.71,26.01,"54,110",7.4,15.32,17.72,23.45,27.94,36.92,"31,860","36,870","48,790","58,120","76,780",,
Arkansas,Writers and Authors,,150,18.1,0.129,0.40,26.17,"54,440",7.9,10.97,14.73,22.61,33.91,41.96,"22,830","30,640","47,020","70,530","87,270",,
California,Writers and Authors,,"6,500",5.1,0.463,1.45,45.05,"93,700",5.7,17.05,21.74,31.37,50.76,#,"35,460","45,220","65,240","105,590",#,,
Colorado,Writers and Authors,,560,12.6,0.257,0.80,33.18,"69,020",7.9,13.77,17.70,25.73,37.26,51.28,"28,640","36,810","53,530","77,500","106,660",,
Connecticut,Writers and Authors,,380,10.2,0.236,0.74,30.67,"63,800",3.4,16.10,20.82,29.91,36.40,43.87,"33,500","43,300","62,220","75,710","91,250",,
Delaware,Writers and Authors,,100,22.3,0.238,0.75,29.71,"61,790",5.3,14.80,19.91,26.10,39.09,51.04,"30,780","41,420","54,280","81,300","106,170",,
District of Columbia,Writers and Authors,,"1,350",14.8,2.092,6.56,41.49,"86,310",3.1,24.36,31.59,41.89,51.37,57.33,"50,670","65,700","87,130","106,840","119,250",,
Florida,Writers and Authors,,"1,720",6.0,0.240,0.75,24.96,"51,910",4.3,9.59,15.21,21.40,30.42,46.38,"19,940","31,640","44,500","63,270","96,480",,
Georgia,Writers and Authors,,660,17.3,0.174,0.55,28.90,"60,120",11.6,10.48,15.37,22.26,31.71,44.96,"21,800","31,970","46,300","65,950","93,520",,
Hawaii,Writers and Authors,,150,15.0,0.255,0.80,27.63,"57,470",4.7,14.66,20.89,26.52,33.89,40.04,"30,490","43,440","55,170","70,480","83,290",,
Idaho,Writers and Authors,,150,19.1,0.258,0.81,22.02,"45,800",6.4,9.45,14.01,20.28,28.32,38.50,"19,660","29,150","42,180","58,910","80,070",,
Illinois,Writers and Authors,,"1,870",10.3,0.335,1.05,29.62,"61,610",3.6,15.45,21.37,27.33,36.11,46.80,"32,140","44,440","56,840","75,100","97,340",,
Indiana,Writers and Authors,,630,8.9,0.229,0.72,19.56,"40,670",3.4,9.74,11.87,16.98,22.70,33.85,"20,250","24,690","35,320","47,220","70,410",,
Iowa,Writers and Authors,,370,24.6,0.256,0.80,20.54,"42,720",4.9,10.33,13.23,18.21,22.81,32.64,"21,490","27,520","37,880","47,430","67,890",,
Kansas,Writers and Authors,,290,16.7,0.223,0.70,24.77,"51,520",8.8,9.21,14.46,25.68,32.53,40.95,"19,150","30,080","53,420","67,660","85,180",,
Kentucky,Writers and Authors,,220,6.4,0.126,0.40,19.88,"41,350",3.1,10.64,14.26,18.26,24.96,31.51,"22,130","29,650","37,980","51,920","65,540",,
Louisiana,Writers and Authors,,250,16.6,0.136,0.43,19.45,"40,450",5.6,8.43,10.46,19.46,26.31,31.53,"17,530","21,750","40,470","54,730","65,570",,
