AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,27-3043,Writers and Authors,,220,11.4,0.123,0.39,28.87,"60,050",5.2,14.02,18.19,26.63,37.67,44.37,"29,150","37,830","55,400","78,350","92,290",,
02,AK,Alaska,27-3043,Writers and Authors,,110,18.3,0.355,1.11,29.83,"62,050",5.1,19.64,23.89,27.95,37.52,43.09,"40,840","49,690","58,140","78,050","89,640",,
04,AZ,Arizona,27-3043,Writers and Authors,,540,18.9,0.226,0.71,26.01,"54,110",7.4,15.32,17.72,23.45,27.94,36.92,"31,860","36,870","48,790","58,120","76,780",,
05,AR,Arkansas,27-3043,Writers and Authors,,150,18.1,0.129,0.40,26.17,"54,440",7.9,10.97,14.73,22.61,33.91,41.96,"22,830","30,640","47,020","70,530","87,270",,
06,CA,California,27-3043,Writers and Authors,,"6,500",5.1,0.463,1.45,45.05,"93,700",5.7,17.05,21.74,31.37,50.76,#,"35,460","45,220","65,240","105,590",#,,
08,CO,Colorado,27-3043,Writers and Authors,,560,12.6,0.257,0.80,33.18,"69,020",7.9,13.77,17.70,25.73,37.26,51.28,"28,640","36,810","53,530","77,500","106,660",,
09,CT,Connecticut,27-3043,Writers and Authors,,380,10.2,0.236,0.74,30.67,"63,800",3.4,16.10,20.82,29.91,36.40,43.87,"33,500","43,300","62,220","75,710","91,250",,
10,DE,Delaware,27-3043,Writers and Authors,,100,22.3,0.238,0.75,29.71,"61,790",5.3,14.80,19.91,26.10,39.09,51.04,"30,780","41,420","54,280","81,300","106,170",,
11,DC,District of Columbia,27-3043,Writers and Authors,,"1,350",14.8,2.092,6.56,41.49,"86,310",3.1,24.36,31.59,41.89,51.37,57.33,"50,670","65,700","87,130","106,840","119,250",,
12,FL,Florida,27-3043,Writers and Authors,,"1,720",6.0,0.240,0.75,24.96,"51,910",4.3,9.59,15.21,21.40,30.42,46.38,"19,940","31,640","44,500","63,270","96,480",,
13,GA,Georgia,27-3043,Writers and Authors,,660,17.3,0.174,0.55,28.90,"60,120",11.6,10.48,15.37,22.26,31.71,44.96,"21,800","31,970","46,300","65,950","93,520",,
15,HI,Hawaii,27-3043,Writers and Authors,,150,15.0,0.255,0.80,27.63,"57,470",4.7,14.66,20.89,26.52,33.89,40.04,"30,490","43,440","55,170","70,480","83,290",,
16,ID,Idaho,27-3043,Writers and Authors,,150,19.1,0.258,0.81,22.02,"45,800",6.4,9.45,14.01,20.28,28.32,38.50,"19,660","29,150","42,180","58,910","80,070",,
